Competitor,Product Range Info,Distribution Info,Marketing Messaging,News Mentions,Overall Completeness
Bikaji Foods,High,High,High,High,High
Bikanervala (Bikano),High,High,Medium,High,High
Gopal Snacks,Medium,Medium,Low,Low,Medium
G Pulla Reddy,Medium,Medium,Low,Low,Medium
Balaji Wafers,High,High,Medium,Medium,High
"ITC (Foods, Kitchens of India)",High,High,High,High,High
Chhappan Bhog,Medium,Medium,Low,Low,Medium
Tata Sampann,High,High,Medium,Medium,High
"Mrs. Bectors (Cremica, E.Oven)",High,High,Medium,Medium,High
Britannia Industries,High,High,High,High,High
"Prataap Snacks (Lay’s, Kurkure)",High,High,High,Medium,High
Chitale Bandhu,Medium,Medium,Low,Low,Medium
Sri Krishna Sweets,Medium,Medium,Low,Low,Medium
MTR Foods,High,High,High,Medium,High
Tasty Bite,High,High,Medium,Low,High
Cornitos,Medium,Medium,Medium,Low,Medium
Sunfeast (ITC),High,High,High,High,High
Open Secret,Medium,High,Medium,Low,Medium
Kaleva,Medium,Medium,Low,Low,Medium
Chandu Halwai,Medium,Medium,Low,Low,Medium
Mithaas,Medium,Medium,Low,Low,Medium
Tewari Bros (Chauhan),Low,Low,Low,Low,Low
Gits,High,High,Medium,Low,High
Kohinoor Xpress Eats,Medium,Medium,Low,Low,Medium
Coca-Cola,N/A (Not snacks),High,High,High,Not Applicable
Varun Beverages,N/A (Not snacks),High,Medium,Medium,Not Applicable
Lay’s (PepsiCo),High,High,High,Medium,High
Karachi Bakery,High,High,Medium,Low,High
Modern Foods,Medium,High,Medium,Low,Medium
Daily Bread (Spencer’s),Low,Low,Low,Low,Low
Just Bake,Medium,Medium,Medium,Low,Medium
Local Bakers / D2C Brands,Medium,Low,Low,Low,Low
QuikShef,Medium,Medium,Low,Low,Medium
Faasos / Bhukkad (Rebel Foods),High,High,High,Medium,High
